pid, process_name, used_gpu_memory [MiB]
2060, [Insufficient Permissions], [N/A]
9480, C:\Windows\explorer.exe, [N/A]
14668, C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.62\msedgewebview2.exe, [N/A]
16464, C:\Users\kkids\AppData\Local\Discord\app-1.0.9241\Discord.exe, [N/A]
8924, C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe, [N/A]
13688, C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.11701.50.0_x64__cw5n1h2txyewy\WidgetBoard.exe, [N/A]
10636, C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe, [N/A]
14456, C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA Overlay.exe, [N/A]
10756, C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe, [N/A]
28524, C:\Program Files (x86)\Steam\steamapps\common\3DMark\bin\x64\jre\bin\javaw.exe, [N/A]
8204, C:\Program Files (x86)\Steam\steamapps\common\3DMark\bin\x64\3DMark.exe, [N/A]
11388, C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe, [N/A]
24280, [Insufficient Permissions], [N/A]
23952, C:\Windows\SystemApps\MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy\ClickToDo.exe, [N/A]
32508, C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2026.133.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe, [N/A]
29136, C:\Program Files\WindowsApps\OpenAI.Codex_26.609.4994.0_x64__2p2nqsd0c76g0\app\Codex.exe, [N/A]
33728, C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA Overlay.exe, [N/A]
16328, C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe, [N/A]

