"process_name","id","path","cpu_seconds","start_time"
"3DMark","8204","C:\Program Files (x86)\Steam\steamapps\common\3DMark\bin\x64\3DMark.exe","35.53125","2026-06-14T12:40:26"
"3DMark","31536","C:\Program Files (x86)\Steam\steamapps\common\3DMark\bin\x64\3DMark.exe","189.453125","2026-06-14T12:39:15"
"3DMark","31884","C:\Program Files (x86)\Steam\steamapps\common\3DMark\bin\x64\3DMark.exe","2190.578125","2026-06-14T12:40:26"
"AggregatorHost","31196",,,
"aihost","12116",,"47.515625","2026-06-13T15:56:04"
"AIXHost","11872","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.AIX_cw5n1h2txyewy\AIXHost.exe","1.21875","2026-06-13T15:56:04"
"amdacphpdsvc","5164",,,
"amdfendrsr","3772",,,
"amdpmfservice","2256",,,
"AmdPpkgSvc","5132",,,
"AnyDesk","9944",,"1.203125","2026-06-14T19:08:03"
"atieclxx","4076",,,
"atiesrxx","3744",,,
"AUEPDU","25332",,,
"AUEPMaster","11528","C:\Program Files\AMD\Performance Profile Client\AUEPMaster.exe","342.046875","2026-06-13T15:57:44"
"CefSharp.BrowserSubprocess","14416","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","3.71875","2026-06-13T15:57:16"
"CefSharp.BrowserSubprocess","22572","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","2107.640625","2026-06-13T15:57:16"
"CefSharp.BrowserSubprocess","23308","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","2.28125","2026-06-13T15:57:19"
"CefSharp.BrowserSubprocess","23408","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","0.8125","2026-06-13T15:57:19"
"CefSharp.BrowserSubprocess","23416","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","7228.953125","2026-06-13T15:57:19"
